Address,Property Type,Bedrooms,Bathrooms,Parking Spaces,Study,Sold Price,Sold Date,Size,Suburb
"11/36 Lisson Grove, Hawthorn, Vic 3122",Apartment,1,1,1,0,"710,000",19/05/2026,,Hawthorn
"2/4-6 Grattan Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"900,000",16/05/2026,,Hawthorn
"16/25 Malmsbury Street, Hawthorn, Vic 3122",Townhouse,2,2,2,0,"1,000,000",11/05/2026,,Hawthorn
"13/284 Barkers Road, Hawthorn, Vic 3122",Unit,2,1,1,0,"928,000",9/05/2026,208,Hawthorn
"6/4 Hill Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"712,500",9/05/2026,,Hawthorn
"9/27 Morang Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"687,000",9/05/2026,,Hawthorn
"610/377 Burwood Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"575,000",8/05/2026,,Hawthorn
"213/6 Lisson Grove, Hawthorn, Vic 3122",Apartment,1,1,1,0,"390,000",8/05/2026,,Hawthorn
"110/625 Glenferrie Road, Hawthorn, Vic 3122",Apartment,2,2,1,0,"725,000",7/05/2026,93,Hawthorn
"5/32 Manningtree Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"680,000",2/05/2026,,Hawthorn
"15/574 Glenferrie Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"540,000",2/05/2026,,Hawthorn
"516/2 Golding Street, Hawthorn, Vic 3122",Apartment,2,2,1,0,"600,000",25/04/2026,,Hawthorn
"8/360 Auburn Road, Hawthorn, Vic 3122",House,4,2,2,1,"2,475,000",24/04/2026,236,Hawthorn
"111/163 Burwood Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"610,000",23/04/2026,,Hawthorn
"1/31 Bell Street, Hawthorn, Vic 3122",Unit,1,1,1,0,"615,000",21/04/2026,,Hawthorn
"6/472 Glenferrie Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"555,000",15/04/2026,,Hawthorn
"28/168 Power Street, Hawthorn, Vic 3122",Apartment,1,1,1,0,"386,000",14/04/2026,,Hawthorn
"60/44 Burwood Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"595,000",10/04/2026,,Hawthorn
"707/377 Burwood Road, Hawthorn, Vic 3122",Apartment,1,1,1,0,"325,000",10/04/2026,,Hawthorn
"502/2 Golding Street, Hawthorn, Vic 3122",Apartment,2,2,1,0,"635,000",7/04/2026,,Hawthorn
"14/36-38 Elphin Grove, Hawthorn, Vic 3122",Apartment,2,1,1,0,"615,000",31/03/2026,,Hawthorn
"11/44-46 Liddiard Street, Hawthorn, Vic 3122",Apartment,1,1,1,0,"395,000",30/03/2026,,Hawthorn
"3/25 Isabella Grove, Hawthorn, Vic 3122",Unit,2,1,1,0,"1,094,000",28/03/2026,,Hawthorn
"8/564 Glenferrie Road, Hawthorn, Vic 3122",Apartment,1,1,1,0,"589,000",28/03/2026,,Hawthorn
"37 The Boulevard, Hawthorn, Vic 3122",House,3,1,2,0,"1,720,000",21/03/2026,398,Hawthorn
"3/44 Kinkora Road, Hawthorn, Vic 3122",Unit,2,1,1,0,"845,000",21/03/2026,,Hawthorn
"12/167 Power Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"645,000",20/03/2026,,Hawthorn
"13/89-91 Denham Street, Hawthorn, Vic 3122",Unit,1,1,0,0,"262,000",19/03/2026,,Hawthorn
"30/523 Burwood Road, Hawthorn, Vic 3122",Apartment,2,2,1,0,"600,000",18/03/2026,,Hawthorn
"15/557 Glenferrie Road, Hawthorn, Vic 3122",Apartment,1,1,1,0,"430,000",17/03/2026,,Hawthorn
"9/30-32 Barton Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"498,000",16/03/2026,,Hawthorn
"5/26 Selbourne Street, Hawthorn, Vic 3122",Apartment,1,1,1,1,"600,000",12/03/2026,,Hawthorn
"24/506 Glenferrie Road, Hawthorn, Vic 3122",Apartment,1,1,1,0,"328,000",11/03/2026,,Hawthorn
"511B/200 Burwood Road, Hawthorn, Vic 3122",Apartment,2,2,1,0,"645,000",10/03/2026,,Hawthorn
"188C Riversdale Road, Hawthorn, Vic 3122",Apartment,3,2,2,0,"990,000",6/03/2026,,Hawthorn
"6/203 Auburn Road, Hawthorn, Vic 3122",Apartment,1,1,1,0,"395,000",6/03/2026,,Hawthorn
"8/17 Muir Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"795,000",2/03/2026,,Hawthorn
"105/383 Burwood Road, Hawthorn, Vic 3122",Apartment,1,1,0,0,"210,000",2/03/2026,,Hawthorn
"29/70A Church Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"555,000",28/02/2026,,Hawthorn
"202/163 Burwood Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"520,000",28/02/2026,,Hawthorn
"13/64-66 Riversdale Road, Hawthorn, Vic 3122",Unit,2,2,2,0,"900,000",27/02/2026,,Hawthorn
"104/151 Burwood Road, Hawthorn, Vic 3122",Apartment,2,1,1,0,"515,000",27/02/2026,,Hawthorn
"17/197 Auburn Road, Hawthorn, Vic 3122",Apartment,1,1,1,0,"440,000",26/02/2026,,Hawthorn
"8/181 Power Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"672,000",25/02/2026,,Hawthorn
"210/1A Launder Street, Hawthorn, Vic 3122",Apartment,2,2,1,0,"600,000",17/02/2026,,Hawthorn
"10/94 Liddiard Street, Hawthorn, Vic 3122",Apartment,2,1,2,0,"721,000",10/02/2026,,Hawthorn
"6/70 Auburn Road, Hawthorn, Vic 3122",Townhouse,3,2,2,0,"1,281,000",9/02/2026,,Hawthorn
"502/25 Lynch Street, Hawthorn, Vic 3122",Apartment,1,1,1,0,"420,000",7/02/2026,,Hawthorn
"302/80 Lynch Street, Hawthorn, Vic 3122",Apartment,2,1,1,0,"540,000",3/02/2026,,Hawthorn
"4/15 Lisson Grove, Hawthorn, Vic 3122",Townhouse,4,2,2,0,"2,500,000",31/01/2026,472,Hawthorn
"B108/311 Burwood Road, Hawthorn, Vic 3122",Apartment,1,1,1,1,"439,000",27/01/2026,,Hawthorn
"15/187 Auburn Road, Hawthorn, Vic 3122",Unit,2,1,1,0,"565,000",22/01/2026,72,Hawthorn
"7/157-163 Burwood Road, Hawthorn, Vic 3122",Apartment,1,1,1,1,"480,000",16/01/2026,,Hawthorn
"103/160 Power Street, Hawthorn, Vic 3122",Apartment,1,1,1,0,"447,500",9/01/2026,,Hawthorn
"10 Callanish Road, Camberwell, Vic 3124",House,5,2,2,0,"2,860,000",16/05/2026,,Camberwell
"10/5 Fermanagh Road, Camberwell, Vic 3124",Apartment,2,1,1,0,"856,000",9/05/2026,864,Camberwell
"3/16-18 Morey Street, Camberwell, Vic 3124",Unit,2,1,1,0,"761,000",6/05/2026,,Camberwell
"160 Wattle Valley Road, Camberwell, Vic 3124",House,5,3,2,0,"2,951,800",2/05/2026,508,Camberwell
"5/18 Cornell Street, Camberwell, Vic 3124",Unit,3,2,2,0,"1,280,000",2/05/2026,284,Camberwell
"814 Burke Road, Camberwell, Vic 3124",House,3,1,2,0,"1,220,000",2/05/2026,282,Camberwell
"5/31 Alma Road, Camberwell, Vic 3124",Apartment,2,1,1,0,"643,000",2/05/2026,,Camberwell
"3/5 Stornoway Road, Camberwell, Vic 3124",Unit,3,1,1,0,"1,050,000",21/04/2026,,Camberwell
"3/20 Oxford Street, Camberwell, Vic 3124",Townhouse,4,2,2,0,"1,587,000",11/04/2026,235,Camberwell
"G02/1280 Toorak Road, Camberwell, Vic 3124",Apartment,2,2,1,0,"680,000",8/04/2026,,Camberwell
"11 Rowell Avenue, Camberwell, Vic 3124",House,5,2,3,1,"3,478,000",28/03/2026,921,Camberwell
"2/184 Wattle Valley Road, Camberwell, Vic 3124",Unit,2,1,1,0,"800,000",26/03/2026,,Camberwell
"38 Christowel Street, Camberwell, Vic 3124",House,3,1,2,0,"2,250,000",21/03/2026,777,Camberwell
"2/28 Seymour Grove, Camberwell, Vic 3124",Unit,3,1,2,0,"1,180,000",21/03/2026,,Camberwell
"9 Pine Avenue, Camberwell, Vic 3124",House,5,3,3,0,"3,600,000",18/03/2026,836,Camberwell
